Language	ISO code	Datasets	Models
Luba-Lulua	lua	15	57
Pennsylvania German	pdc	15	4
Tamasheq	taq	15	46
Swedish	swe	14	11
Fiji Hindi	hif	14	19
Bodo (India)	brx	14	24
Standard Malay	zsm	14	41
Serbian	srp	14	5
Magahi	mag	14	57
Hungarian	hun	14	6
Ganda	lug	14	31
Telugu	tel	14	5
Turkish	tur	14	6
Tunisian Arabic	aeb	14	42
Mon	mnw	14	15
Southern Pashto	pbt	14	43
Sranan Tongo	srn	14	26
Polish	pol	14	10
Kimbundu	kmb	14	59
Macedo-Romanian	rup	14	3
Plateau Malagasy	plt	14	43
Saraiki	skr	14	15
Somali	som	14	7
Burmese	mya	14	6
Danish	dan	14	7
Min Dong Chinese	cdo	14	2
K'iche'	quc	14	16
Levantine Arabic	apc	14	42
Chokwe	cjk	14	59
Eastern Yiddish	ydd	14	41
Old Church Slavonic ѩзыкъ словѣньскъ	cu	14	7
Northern Luri	lrc	14	16
Pfaelzisch	pfl	13	4
Vlax Romani	rmy	13	1
Hebrew	heb	13	6
Tagalog	tgl	13	6
Chinese	zho	13	3
Khmer	khm	13	5
Standard Latvian	lvs	13	41
Avestan avesta	ae	13	29
Nigerian Fulfulde	fuv	13	41
Tswana	tsn	13	25
Arabic	ara	13	6
Tahitian Reo Tahiti	ty	13	15
Kachin	kac	13	58
Southwestern Dinka	dik	13	43
Samogitian	sgs	13	3
Southern Sotho	sot	13	4
Saterfriesisch	stq	13	17
Creek	mus	12	1
Kekchí	kek	12	16
Tulu	tcy	12	17
Mesopotamian Arabic	acm	12	42
Zhuang Saɯ cueŋƅ	za	12	27
Croatian	hrv	12	6
Modern Greek (1453-)	ell	12	6
Norwegian Bokmål	nob	12	44
Pāli पाऴि	pi	12	2
Dinka	din	12	16
Central Aymara	ayr	12	41
Võro	vro	12	3
West Central Oromo	gaz	12	43
Venda	ven	12	3
Ukrainian	ukr	12	7
Kirghiz	kir	12	5
Cree ᓀᐦᐃᔭᐍᐏᐣ	cr	12	11
Kaqchikel	cak	12	17
Persian	fas	12	6
Catalan	cat	12	7
Northern Uzbek	uzn	12	41
Toki Pona	tok	12	4
Twi	twi	12	25
Lithuanian	lit	12	5
Nuer	nus	12	44
Bulgarian	bul	12	6
Sanskrit	san	12	2
Lao	lao	11	6
Wolof	wol	11	31
Finnish	fin	11	7
Central Kanuri	knc	11	41
Halh Mongolian	khk	11	41
Assamese	asm	11	5
Malay (individual language)	zlm	11	1
Bosnian	bos	11	5
Inupiaq Iñupiaq	ik	11	4
Belarusian	bel	11	5
Mam	mam	11	16
Lak	lbe	11	1
Najdi Arabic	ars	11	42
Tajik	tgk	11	5
Lingala	lin	11	6
Ladin	lld	11	1
Assyrian Neo-Aramaic	aii	11	2
Choctaw	cho	11	1
Hiligaynon	hil	11	25
Marshallese Kajin M̧ajeļ	mh	11	39
Slovak	slk	11	7
Slovenian	slv	11	6
Czech	ces	11	7
Bambara	bam	11	25
Kanuri Kanuri	kr	11	33
Occitan (post 1500)	oci	10	5
Nuosu ꆈꌠ꒿ Nuosuhxop	ii	10	4
Swahili (macrolanguage)	swa	10	31
Georgian	kat	10	5
Icelandic	isl	10	6
Macedonian	mkd	10	5
Batak Toba	bbc	10	15
Soninke	snk	10	1
Swati	ssw	10	1
Ancient Greek (to 1453)	grc	10	51
Galician	glg	10	6
Ta'izzi-Adeni Arabic	acq	10	42
Shona	sna	10	10
Votic	vot	10	4
Armenian	hye	10	6
Konkani (macrolanguage)	kok	10	3
Haitian	hat	10	2
Fanti	fat	10	1
Irish	gle	10	6
Oriya (macrolanguage)	ori	10	2
Adyghe Адыгэбзэ Къэбэрдей	ady	10	16
Welsh	cym	10	5
Akan	aka	9	1
Kwanyama Kuanyama	kj	9	22
Jèrriais	nrf	9	1
Hiri Motu Hiri Motu	ho	9	25
Nauru Ekakairũ Naoero	na	9	7
Ndonga Owambo	ng	9	5
Uzbek	uzb	9	5
Tibetan	bod	9	2
Mapudungun	arn	9	15
Amis	ami	9	1
Nyankole	nyn	9	4
Maori	mri	9	5
Kikuyu	kik	9	1
Western Armenian	hyw	9	3
Acoli	ach	9	17
Tigrinya	tir	9	3
Basa (Cameroon)	bas	9	20
Oromo	orm	9	8
Adangme	ada	9	15
Nias	nia	9	15
South Ndebele	nbl	9	1
Teso	teo	9	15
Maltese	mlt	9	8
Northern Sami	sme	9	6
Karelian	krl	9	1
Tigre	tig	9	1
Swampy Cree	csw	9	1
Esperanto	epo	9	2
Algerian Arabic	arq	9	2
Cusco Quechua	quz	9	1
Tachelhit	shi	9	1
Klingon	tlh	9	15
Kazakh	kaz	9	6
Eastern Tamang	taj	9	15
Huastec	hus	9	15
Pijin	pis	8	28
Kadazan Dusun	dtp	8	15
Nepali (macrolanguage)	nep	8	2
Southern Altai	alt	8	15
Estonian	est	8	6
Malay (macrolanguage)	msa	8	5
Luxembourgish	ltz	8	5
Nyungwe	nyu	8	15
Yiddish	yid	8	2
Kurdish	kur	8	1
Masaaba	myx	8	1
Lango (Uganda)	laj	8	15
Ewe	ewe	8	24
Bislama	bis	8	1
Soga	xog	8	1
Latin	lat	8	4
Hmong	hmn	8	66
Undetermined	und	8	41
Yanesha'	ame	8	1
Zarma	dje	8	15
Norwegian Nynorsk	nno	8	4
Cashibo-Cacataibo	cbr	8	1
Sindhi	snd	8	13
Naasioi	nas	7	1
Ghomálá'	bbj	7	24
Margos-Yarowilca-Lauricocha Quechua	qvm	7	1
Yucateco	yua	7	17
Old Russian	orv	7	3
Highland Oaxaca Chontal	chd	7	2
Scottish Gaelic	gla	7	2
Montenegrin	cnr	7	4
Huallaga Huánuco Quechua	qub	7	15
Kamano	kbq	7	1
Shuar	jiv	7	15
Old French (842-ca. 1400)	fro	7	6
Uighur	uig	7	6
Mamara Senoufo	myk	7	2
Nehan	nsn	7	1
Betawi	bew	7	14
Asháninka	cni	7	15
Guerrero Amuzgo	amu	7	15
Khakas	kjh	7	15
Faroese	fao	7	3
Fulah	ful	7	3
South Tairora	omw	7	1
Farefare	gur	7	1
Norwegian	nor	7	2
Tonga (Zambia)	toi	7	12
Dogri (macrolanguage)	doi	7	8
Krio	kri	7	15
Huamalíes-Dos de Mayo Huánuco Quechua	qvh	7	1
Makasar	mak	7	15
Albanian	sqi	7	2
Liv	liv	7	1
Ngaju	nij	7	15
Kanite	kmu	7	1
Alamblak	amp	6	1
Lahu	lhu	6	15
Awa (Papua New Guinea)	awb	6	1
Rotokas	roo	6	1
Binumarien	bjr	6	1
Central Mazahua	maz	6	16
Gapapaiwa	pwg	6	1
Aguaruna	agr	6	15
Nzima	nzi	6	15
Ewondo	ewo	6	1
Coptic	cop	6	16
Romany	rom	6	15
Chuukese	chk	6	22
Southern Dagaare	dga	6	1
Kagayanen	cgc	6	1
Luvale	lue	6	13
Mískito	miq	6	15
Amri Karbi	ajz	6	1
Seselwa Creole French	crs	6	28
Ticuna	tca	6	15
Lozi	loz	6	14
Palauan	pau	6	15
Pular	fuf	6	1
Yapese	yap	6	22
Gusii	guz	6	1
Turkana	tuv	6	1
Lunda	lun	6	6
Baluchi	bal	6	2
Middle French (ca. 1400-1600)	frm	6	1
Garifuna	cab	6	15
Purepecha	tsz	6	1
Papantla Totonac	top	6	1
North Tanna	tnn	6	1
Tojolabal	toj	6	15
Nyoro	nyo	6	1
Western Niger Fulfulde	fuh	6	1
Ditammari	tbz	6	15
American Sign Language	ase	6	10
Western Frisian	fry	6	13
Mi'kmaq	mic	6	1
Latvian	lav	6	6
Mongolian	mon	6	5
Eastern Apurímac Quechua	qve	6	1
Pohnpeian	pon	6	27
Achuar-Shiwiar	acu	6	1
Kotava	avk	6	1
Standard Arabic	arb	6	1
Southwest Tanna	nwi	6	1
Arammba	stk	6	1
Ga	gaa	6	16
Kenga	kyq	6	1
Ojibwa	oji	6	1
Miahuatlán Zapotec	zam	6	1
Ojibwe ᐊᓂᔑᓈᐯᒧᐎᓐ	oj	6	16
Bisu	bzi	6	2
Huichol	hch	6	2
Mitla Zapotec	zaw	6	1
Sango	sag	6	1
Akha	ahk	6	15
Baatonum	bba	6	1
Zaza	zza	6	15
Benabena	bef	6	1
Pipil	ppl	6	1
Breton	bre	6	2
Huba	hbb	6	1
Kenyang	ken	6	1
Kâte	kmg	6	1
Saposa	sps	6	1
Arosi	aia	6	1
Kaonde	kqn	6	12
Mezquital Otomi	ote	6	1
Tase Naga	nst	6	1
Masbatenyo	msb	6	15
Suba	sxb	6	1
Whitesands	tnp	6	1
Sinhala	sin	6	2
Dedua	ded	6	1
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	nhi	6	1
Sidamo	sid	6	1
Mamasa	mqj	6	1
Morisyen	mfe	6	22
Pushto	pus	6	5
Akoose	bss	6	1
Kamasau	kms	6	1
Niuean	niu	6	14
Turkmen	tuk	6	2
Tatar	tat	6	3
Mambae	mgm	6	1
Guianese Creole French	gcr	6	1
