,Class,language,data,code,model,tool
367,5,English,0,GitHub,0,0
368,5,English,0,GitHub,0,0
369,5,English,0,GitHub,0,0
370,5,English,0,GitHub,GitHub,0
371,5,English,GitHub,0,0,0
372,5,English,0,GitHub,0,0
373,5,French,0,GitHub,0,0
374,5,French,0,0,Other,0
375,5,French,GitHub,0,0,0
376,5,French,GitHub,0,0,0
377,5,French,GitHub,0,0,0
378,5,French,0,GitHub,0,0
379,5,French,Other,0,0,0
380,5,French,0,GitHub,0,0
381,5,French,GitHub,0,0,0
382,5,French,0,0,0,Other
383,5,French,0,GitHub,0,0
384,5,German,0,GitHub,GitHub,0
385,5,German,0,GitHub,0,0
386,5,German,GitHub,GitHub,GitHub,0
387,5,German,0,GitHub,0,0
388,5,German,GitHub,0,0,0
389,5,German,GitHub,0,0,0
390,5,German,0,GitHub,0,0
391,5,German,GitHub,0,0,0
392,5,German,GitHub,0,0,0
393,5,German,GitHub,GitHub,GitHub,0
394,5,German,GitHub,GitHub,0,0
395,5,Japaneese,GitHub,GitHub,0,0
396,5,Japaneese,Other,0,0,0
397,5,Japaneese,GitHub,0,0,0
398,5,Japaneese,Other,0,0,GitHub
399,5,Japaneese,0,GitHub,0,0
400,5,Japaneese,0,GitHub,0,0
401,5,Japaneese,0,0,0,GitHub
402,5,Japaneese,Other,0,0,0
403,5,Japaneese,Hugging Face,0,0,0
404,5,Japaneese,0,GitHub,0,0
405,5,Japaneese,GitHub,0,0,0
406,5,Chinese,GitHub,GitHub,0,0
407,5,Chinese,GitHub,GitHub,0,0
408,5,Chinese,0,GitHub,GitHub,0
409,5,Chinese,0,GitHub,0,0
410,5,Chinese,GitLab,GitLab,0,0
411,5,Chinese,Other,GitHub,0,0
412,5,Chinese,GitHub,GitHub,0,0
413,5,Chinese,Google Drive,GitHub,0,0
414,5,Chinese,GitHub,GitHub,Google Drive,0
415,5,Chinese,0,GitHub,0,Other
416,5,Chinese,0,GitHub,0,0
417,5,Spanish,Other,GitHub,0,0
418,5,Spanish,GitHub,GitHub,0,0
419,5,Spanish,GitHub,0,0,0
420,5,Spanish,GitHub,GitHub,0,0
421,5,Spanish,Zenodo,0,0,0
422,5,Spanish,0,GitHub,GitHub,0
423,5,Spanish,GitHub,GitHub,GitHub,0
424,5,Spanish,0,0,Hugging Face,0
425,5,Spanish,GitHub,GitHub,0,0
426,5,Spanish,GitHub,GitHub,0,0
427,5,Spanish,GitHub,GitHub,GitHub,0
